deal_date,scrip_code,scrip_name,client_name,buy_sell,quantity_traded,Trade Price,fetch_date,source,deal_category
2025-09-24,542543,ENERGYINF,TRUST INVESTMENT ADVISORS PRIVATE LIMITED,BUY,6050000,82,2025-10-05,BSE,BLOCK
2025-09-24,542543,ENERGYINF,NEO WEALTH PARTNERS PRIVATE LIMITED,BUY,6075000,82,2025-10-05,BSE,BLOCK
2025-09-24,542543,ENERGYINF,RAPID HOLDINGS 2 PTE LIMITED,SELL,6050000,82,2025-10-05,BSE,BLOCK
2025-09-24,542543,ENERGYINF,RAPID HOLDINGS 2 PTE LIMITED,SELL,6075000,82,2025-10-05,BSE,BLOCK
